Domain,Robots_URL,Status,Notes
novonordiskfonden.dk,https://novonordiskfonden.dk/robots.txt,Disallowed,Standard check
tatatrusts.org,https://tatatrusts.org/robots.txt,Allowed,Standard check
gatesfoundation.org,https://gatesfoundation.org/robots.txt,Disallowed,Standard check
wellcome.org,https://wellcome.org/robots.txt,Allowed,Standard check
ingka.com,https://ingka.com/robots.txt,Disallowed,Standard check
mastercardfdn.org,https://mastercardfdn.org/robots.txt,Allowed,Standard check
fundacionlacaixa.org,https://fundacionlacaixa.org/robots.txt,Disallowed,Standard check
hhmi.org,https://hhmi.org/robots.txt,Disallowed,Standard check
rag-stiftung.de,https://rag-stiftung.de/robots.txt,Allowed,Standard check
azimpremjifoundation.org,https://azimpremjifoundation.org/robots.txt,Disallowed,Standard check
opensocietyfoundations.org,https://opensocietyfoundations.org/robots.txt,Disallowed,Standard check
lillyendowment.org,https://lillyendowment.org/robots.txt,Disallowed,Standard check
fordfoundation.org,https://fordfoundation.org/robots.txt,Allowed,Standard check
siliconvalleycf.org,https://siliconvalleycf.org/robots.txt,Allowed,Standard check
wkkf.org,https://wkkf.org/robots.txt,Allowed,Standard check
packard.org,https://packard.org/robots.txt,Disallowed,Standard check
macfound.org,https://macfound.org/robots.txt,Disallowed,Standard check
mellon.org,https://mellon.org/robots.txt,Allowed,Standard check
rwjf.org,https://rwjf.org/robots.txt,Allowed,Standard check
rockefellerfoundation.org,https://rockefellerfoundation.org/robots.txt,Allowed,Standard check
hewlett.org,https://hewlett.org/robots.txt,Allowed,Standard check
helmsleytrust.org,https://helmsleytrust.org/robots.txt,Allowed,Standard check
pewtrusts.org,https://pewtrusts.org/robots.txt,Disallowed,Standard check
hiltonfoundation.org,https://hiltonfoundation.org/robots.txt,Disallowed,Standard check
bosch-stiftung.de,https://bosch-stiftung.de/robots.txt,Allowed,Standard check
waltonfamilyfoundation.org,https://waltonfamilyfoundation.org/robots.txt,Allowed,Standard check
simonsfoundation.org,https://simonsfoundation.org/robots.txt,Disallowed,Standard check
carnegie.org,https://carnegie.org/robots.txt,Allowed,Standard check
kresge.org,https://kresge.org/robots.txt,Disallowed,Standard check
gulbenkian.pt,https://gulbenkian.pt/robots.txt,Disallowed,Standard check
mott.org,https://mott.org/robots.txt,Allowed,Standard check
dukeendowment.org,https://dukeendowment.org/robots.txt,Disallowed,Standard check
arnoldventures.org,https://arnoldventures.org/robots.txt,Allowed,Standard check
aecf.org,https://aecf.org/robots.txt,Disallowed,Standard check
irvine.org,https://irvine.org/robots.txt,Allowed,Standard check
williampennfoundation.org,https://williampennfoundation.org/robots.txt,Disallowed,Standard check
rkmf.org,https://rkmf.org/robots.txt,Disallowed,Standard check
templeton.org,https://templeton.org/robots.txt,Allowed,Standard check
bloomberg.org,https://bloomberg.org/robots.txt,Allowed,Standard check
hkjc.com,https://hkjc.com/robots.txt,Allowed,Standard check
ciff.org,https://ciff.org/robots.txt,Disallowed,Standard check
jpbfoundation.org,https://jpbfoundation.org/robots.txt,Disallowed,Standard check
kauffman.org,https://kauffman.org/robots.txt,Allowed,Standard check
marinfoundation.org,https://marinfoundation.org/robots.txt,Error,<urlopen error [Errno 60] Operation timed out>
mcknight.org,https://mcknight.org/robots.txt,Disallowed,Standard check
houstonendowment.org,https://houstonendowment.org/robots.txt,Disallowed,Standard check
calfund.org,https://calfund.org/robots.txt,Allowed,Standard check
ddcf.org,https://ddcf.org/robots.txt,Error,<urlopen error [Errno 54] Connection reset by peer>
sloan.org,https://sloan.org/robots.txt,Disallowed,Standard check
grants.gov,https://grants.gov/robots.txt,Allowed,Standard check
nsf.gov,https://nsf.gov/robots.txt,Allowed,Standard check
nih.gov,https://nih.gov/robots.txt,Allowed,Standard check
usaid.gov,https://usaid.gov/robots.txt,Allowed,Standard check
ed.gov,https://ed.gov/robots.txt,Allowed,Standard check
ukri.org,https://ukri.org/robots.txt,Allowed,Standard check
europa.eu,https://europa.eu/robots.txt,Allowed,Standard check
